date, high, low, open, close, volume, quoteVolume, weightedAverage
1439006400, 1.85, 0.50000021, 1.65, 1.85, 144.42819254, 84.01638508, 1.71904792
1439020800, 1.7, 1.40000001, 1.7, 1.40000001, 129.57577588, 92.52305316, 1.40047016
1439035200, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439049600, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439064000, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439078400, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439092800, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439107200, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439121600, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439136000, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439150400, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439164800, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439179200, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439193600, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439208000, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439222400, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439236800, 1.40000001, 1.40000001, 1.40000001, 1.40000001, 0, 0, 1.40000001
1439251200, 0.66000001, 0.66000001, 0.66000001, 0.66000001, 0.07380013, 0.11181839, 0.66000001
1439265600, 0.66000001, 0.66000001, 0.66000001, 0.66000001, 0, 0, 0.66000001
1439280000, 0.76999944, 0.55000001, 0.76999944, 0.55000001, 0.02629906, 0.03984044, 0.66010983
1439294400, 0.77000001, 0.76999922, 0.76999922, 0.77000001, 47.50194788, 61.69089653, 0.76999931
1439308800, 1, 0.99999999, 0.99999999, 1, 126.68052588, 126.68052615, 0.99999999
1439323200, 1.14, 1.05999999, 1.05999999, 1.1, 68.6933997, 62.994, 1.09047527
1439337600, 1.05000001, 0.9000006, 1.05000001, 0.90000146, 101.62486499, 112.39234096, 0.90419742
1439352000, 0.90000146, 0.90000146, 0.90000146, 0.90000146, 0, 0, 0.90000146
1439366400, 1.18, 1, 1, 1.18, 127.54115577, 109.70495043, 1.16258341
1439380800, 1.26, 1.22, 1.22, 1.26, 18.57815219, 15.22075571, 1.22058014
1439395200, 1.39999999, 1.26, 1.26, 1.39999999, 228.69778192, 166.76205514, 1.37140179
1439409600, 1.38, 1.38, 1.38, 1.38, 0.36525637, 0.26467853, 1.38
1439424000, 1.38, 1.38, 1.38, 1.38, 0, 0, 1.38
1439438400, 1.3, 1.3, 1.3, 1.3, 5.25731536, 4.04408874, 1.3
1439452800, 1.3, 1.3, 1.3, 1.3, 7.74268463, 5.95591126, 1.3
1439467200, 1.46, 1.38, 1.38, 1.46, 50.49627581, 35.68086244, 1.41522015
1439481600, 2.05, 1.46, 1.46, 2.05, 522.61729273, 302.07602291, 1.73008531
1439496000, 2.15, 2.14, 2.15, 2.14, 0.17328582, 0.08060516, 2.14981056
1439510400, 2.14, 2.14, 2.14, 2.14, 0, 0, 2.14
1439524800, 2.14, 2.14, 2.14, 2.14, 0, 0, 2.14
1439539200, 2.15, 2.14, 2.14, 2.15, 53.47671417, 24.91939484, 2.14598767
1439553600, 2.15, 2.15, 2.15, 2.15, 0, 0, 2.15
1439568000, 2.15, 2.15, 2.15, 2.15, 0, 0, 2.15
1439582400, 2.15, 2.15, 2.15, 2.15, 0, 0, 2.15
1439596800, 1.625, 1.625, 1.625, 1.625, 17.875, 11, 1.625
1439611200, 2.19999999, 1.7, 1.7, 2.19999999, 10.99999995, 6, 1.83333332
1439625600, 2.19999999, 2.19999999, 2.19999999, 2.19999999, 0, 0, 2.19999999
1439640000, 2.19999999, 2.19999999, 2.19999999, 2.19999999, 0, 0, 2.19999999
1439654400, 1.5, 1.15000001, 1.5, 1.5, 24.34824571, 16.62755862, 1.46433076
1439668800, 1.5, 1.5, 1.5, 1.5, 0, 0, 1.5
1439683200, 1.769999, 1.769999, 1.769999, 1.769999, 0.00068704, 0.00038816, 1.769999
1439697600, 1.77, 1.14, 1.14000001, 1.77, 15.77934371, 13.11196337, 1.20343103
1439712000, 1.14, 1.11, 1.14, 1.11, 210.03425217, 186.19979694, 1.12800473
1439726400, 1.12000001, 1.12000001, 1.12000001, 1.12000001, 0.33586382, 0.29987841, 1.12000001
1439740800, 1.12000001, 1.12000001, 1.12000001, 1.12000001, 0, 0, 1.12000001
1439755200, 1.12000001, 1.12000001, 1.12000001, 1.12000001, 0, 0, 1.12000001
1439769600, 1.12000001, 1.12000001, 1.12000001, 1.12000001, 0, 0, 1.12000001
1439784000, 1.12000001, 1.12000001, 1.12000001, 1.12000001, 0, 0, 1.12000001
1439798400, 1.12000001, 1.12000001, 1.12000001, 1.12000001, 0, 0, 1.12000001
1439812800, 1.7699999, 1.7699999, 1.7699999, 1.7699999, 0.29754606, 0.16810513, 1.7699999
1439827200, 1.7699999, 1.34, 1.7699999, 1.34, 21.59414783, 16.08708918, 1.34232785
1439841600, 1.52, 1.52, 1.52, 1.52, 15.2, 10, 1.52
1439856000, 1.565, 1.565, 1.565, 1.565, 7.825, 5, 1.565
1439870400, 1.565, 1.565, 1.565, 1.565, 0, 0, 1.565
1439884800, 1.565, 1.565, 1.565, 1.565, 0, 0, 1.565
1439899200, 1.565, 1.565, 1.565, 1.565, 0, 0, 1.565
1439913600, 1.51999999, 1.51999999, 1.51999999, 1.51999999, 0.14877302, 0.09787699, 1.51999999
1439928000, 1.06100002, 1.01, 1.06100002, 1.01, 90.85326803, 87.05348577, 1.04364882
1439942400, 1.01, 1.01, 1.01, 1.01, 0, 0, 1.01
1439956800, 1.38499999, 1.085, 1.085, 1.38499999, 16.53378257, 15.18019973, 1.08916765
1439971200, 1.38499999, 1.38499999, 1.38499999, 1.38499999, 0, 0, 1.38499999
1439985600, 1.38499999, 1.38499999, 1.38499999, 1.38499999, 0, 0, 1.38499999
1440000000, 1.38499999, 1.38499999, 1.38499999, 1.38499999, 0, 0, 1.38499999
1440014400, 1.4, 1.3, 1.39, 1.3, 71.05, 51, 1.39313725
1440028800, 1.3, 1.3, 1.3, 1.3, 0, 0, 1.3
1440043200, 1.25000001, 1.25000001, 1.25000001, 1.25000001, 21.14719971, 16.91775964, 1.25000001
1440057600, 1.25000001, 1.25000001, 1.25000001, 1.25000001, 0, 0, 1.25000001
1440072000, 1.25000001, 1.25000001, 1.25000001, 1.25000001, 0, 0, 1.25000001
1440086400, 1.25000001, 1.25000001, 1.25000001, 1.25000001, 0, 0, 1.25000001
1440100800, 1.72999995, 1.45999999, 1.45999999, 1.72999995, 510.32036971, 343.66691366, 1.48492726
1440115200, 1.72999995, 1.72999995, 1.72999995, 1.72999995, 0, 0, 1.72999995
1440129600, 1.4410014, 1.44100001, 1.4410014, 1.44100001, 2.787564, 1.93446478, 1.44100013
1440144000, 1.44100001, 1.44100001, 1.44100001, 1.44100001, 0, 0, 1.44100001
1440158400, 1.44100001, 1.44100001, 1.44100001, 1.44100001, 0, 0, 1.44100001
1440172800, 1.72999367, 1.44, 1.72999367, 1.44, 424.83474734, 292.26652531, 1.45358674
